"","species","varval","genus","family","order","class","phylum","kingdom"
"4221","Acrocephalus familiaris",18.275,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4234","Acrocephalus gracilirostris",15.9333333333333,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4245","Acrocephalus griseldis",26.4192307692308,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4277","Acrocephalus kerearako",22.5,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4282","Acrocephalus luscinius",30.8333333333333,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4292","Acrocephalus melanopogon",12.0576923076923,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4325","Acrocephalus newtoni",17,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4330","Acrocephalus orientalis",25.5,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4334","Acrocephalus paludicola",11.49375,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4364","Acrocephalus palustris",11.9357142857143,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4420","Acrocephalus rimitarae",26.5,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4425","Acrocephalus rodericanus",11.8,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4429","Acrocephalus rufescens",20.8571428571429,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4447","Acrocephalus schoenobaenus",11.871875,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4528","Acrocephalus scirpaceus",11.76875,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4611","Acrocephalus sechellensis",6725.69444444444,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4718","Acrocephalus stentoreus",24.1,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4738","Acrocephalus taiti",24.3,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4747","Acrocephalus tangorum",7.9,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4751","Acrocephalus vaughani",24.5,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4754","Acrochordus arafurae",1810.30338068653,"Acrochordus","Acrochordidae","Squamata","Reptilia","Chordata","Animalia"
"4826","Acrochordus granulatus",858.227660779312,"Acrochordus","Acrochordidae","Squamata","Reptilia","Chordata","Animalia"
"4857","Acrochordus javanicus",6389.8883122784,"Acrochordus","Acrochordidae","Squamata","Reptilia","Chordata","Animalia"
"4900","Acrocodia indica",285819.73,"Acrocodia","Tapiridae","Perissodactyla","Mammalia","Chordata","Animalia"
"4933","Acropternis orthonyx",95,"Acropternis","Rhinocryptidae","Passeriformes","Aves","Chordata","Animalia"
"4937","Acryllium vulturinum",1343.35,"Acryllium","Numididae","Galliformes","Aves","Chordata","Animalia"
"4949","Actenoides bougainvillei",201.5,"Actenoides","Alcedinidae","Coraciiformes","Aves","Chordata","Animalia"
"4954","Actenoides concretus",79,"Actenoides","Alcedinidae","Coraciiformes","Aves","Chordata","Animalia"
"4963","Actenoides hombroni",132,"Actenoides","Alcedinidae","Coraciiformes","Aves","Chordata","Animalia"
"4968","Actenoides lindsayi",93.35,"Actenoides","Alcedinidae","Coraciiformes","Aves","Chordata","Animalia"
"4976","Actinodura egertoni",36,"Actinodura","Leiothrichidae","Passeriformes","Aves","Chordata","Animalia"
"4980","Actinodura ramsayi",38.4,"Actinodura","Leiothrichidae","Passeriformes","Aves","Chordata","Animalia"
"4984","Actitis hypoleucos",49.465,"Actitis","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia"
"5051","Actitis macularius",40.9869047621429,"Actitis","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia"
"5111","Actophilornis africanus",200.10625,"Actophilornis","Jacanidae","Charadriiformes","Aves","Chordata","Animalia"
"5130","Actophilornis albinucha",239,"Actophilornis","Jacanidae","Charadriiformes","Aves","Chordata","Animalia"
"5137","Acutotyphlops subocularis",5,"Acutotyphlops","Typhlopidae","Squamata","Reptilia","Chordata","Animalia"
"5141","Addax nasomaculatus",104806.545,"Addax","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia"
"5191","Adelomyia melanogenys",3.9,"Adelomyia","Trochilidae","Apodiformes","Aves","Chordata","Animalia"
"5201","Adelphicos quadrivirgatum",4.89778819368446,"Adelphicos","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"5209","Adolfus africanus",2.73065046161319,"Adolfus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"5217","Adolfus jacksoni",7.58577575029184,"Adolfus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"5231","Aechmophorus clarkii",1250.80555555556,"Aechmophorus","Podicipedidae","Podicipediforme","Aves","Chordata","Animalia"
"5284","Aechmophorus occidentalis",1267.83333333333,"Aechmophorus","Podicipedidae","Podicipediforme","Aves","Chordata","Animalia"
"5336","Aechmorhynchus parvirostris",36,"Aechmorhynchus","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia"
