;;MVB14100;m;;3,6;;
;;MVB20579;m;;3,7;;
;;MVB20394;m;110,9;4,6;;
;;ANWC47265;f;80;3,1;;
;;MVB11121;f;130;3,1;;
;;MVB20604;f;104;3,7;;
Platycercus;elegans;ANWC23753;m;160;4;;
;;ANWC23748;m;160;4,45;;
;;ANWC23749;m;140;3,8;;
;;ANWC23744;m;110;4,2;;
;;ANWC23747;m;130;4,3;;
;;MVB19202;f;125;4,1;;
;;MVB7251;f;;2,6;;
;;MVB12023;f;109,4;3,2;;
;;MVW10036;f;;3,1;;
Platycercus;eximius;ANWC23767;m;110;2,8;;
;;MVB20258;m;102;2,7;;
;;MVB20275;m;;3,05;;
;;MVB20330;m;94;2,85;;
;;ANWC23763;f;;2,8;;
;;MVB10179;f;;2,8;;
;;MVB10851;f;100,6;2,8;;
Platycercus;flaveolus;MVB12994;f;120;3,4;;
;;MVB8855;f;;2,9;;
;;MVB12992;f;100;2,9;;
;;MVB12991;f;93;2,7;;
;;MVB12993;f;114,5;3,7;;
;;MVB12995;m;116,9;3,4;;
;;MVB8907;m;;3,3;;
Platycercus;icterotis;MVB11141;m;50,3;2,6;;
;;MVB13617;m;66,8;2,7;;
;;QMO28289;m;;2,4;;
;;QMO28307;m;44,5;2,4;;
;;SAMB47584;f;;2,25;;
;;SAMB31133;f;;2,2;;
Platycercus;venustus;SAMB48441;m;;2,8;;
;;ANWC23774;f;78,5;2,25;;
;;AMO60399;f;;2,4;;
Poicephalus;cryptoxanthus;USNM345141;;;4,65;;
Poicephalus;gulielmi;USNM613787;m;230,5;8,5;;
;;USNM614250;f;191,3;5,8;;
Poicephalus;meyeri;USNM557840;f;;4,4;;
;;USNM557839;f;;4,05;;
;;USNM557838;f;;4,4;;
;;USNM559418;f;;4,1;;
;;USNM613788;m;82,1;4,55;;
;;USNM430354;m;;4,6;;
Poicephalus;robustus;USNM613786;m;253,1;8,7;;
;;USNM490129;f;;7,15;;
;;USNM488836;f;;8,2;;
;;USNM488834;f;;7,8;;
;;USNM488834;f;;7,7;;
Poicephalus;senegalus;USNM557863;f;;4,1;;
;;USNM557864;f;;4,55;;
;;USNM557862;f;;4,6;;
;;USNM557856;f;;4,9;;
;;USNM430269;m;;4,8;;
;;USNM557859;m;;4,9;;
;;USNM557860;m;;4,85;;
;;USNM557858;m;;4,85;;
;;USNM557857;m;;5,05;;
Polytelis;alexandrae;ANWC23731;m;73;2,9;;
;;SAMB31157;m;;2,55;;
;;SAMB45972;m;;2,75;;
;;ANWC23732;f;;2,4;;
;;SAMB48897;f;;2,3;;
Polytelis;anthopeplus;ANWC23730;m;;3,8;;
;;ANWC23729;m;;3,6;;
;;AMO70090;m;;4,35;;
;;AMO70091;m;;4,4;;
;;MVB19929;f;;3,5;;
;;MVB20336;f;176,8;3,2;;
;;SAMB45906;f;;4,15;;
;;SAMB45905;f;;3,7;;
;;SAMB45675;f;;3,8;;
Polytelis;swainsonii;ANWC23727;m;150;3,3;;
;;MVB16227;m;154,8;3,6;;
;;MVB16275;m;131,5;3,4;;
;;MVB17705;m;140;3,8;;
;;AMO66384;m;;3,6;;
;;ANWC23725;f;147;3,4;;
